package_group,status,source_repository,source_path,notes
"01_LOGO/GainFrame-Mark.svg","Canonical production asset","gain-frame","brand/gainframe-icon-2.0.svg","Master vector mark"
"01_LOGO/GainFrame-App-Icon-1024.png","Canonical production asset","gain-frame","GainFrame/Resources/Assets.xcassets/AppIcon.appiconset/AppIcon.png","Opaque App Store icon"
"01_LOGO/GainFrame-Mark-High-Res.png; GainFrame-Emoji-128.png","Canonical production assets","gain-frame","website/public/gainframe-icon-2.0.png; GainFrame/Resources/Assets.xcassets/GainFrameEmoji.imageset","Raster variants"
"01_LOGO/Download-on-the-App-Store.svg","Platform badge","gain-frame","website/public","Apple App Store download badge"
"02_MASCOT_GARY/hero-poses","Canonical mascot assets","gain-frame + gain-frame-privacy","GainFrame/Resources/Assets.xcassets/Gary*; docs/assets/gainframe-guy","Gary / GainFrame Guy poses"
"02_MASCOT_GARY/animated","Canonical mascot animation assets","gain-frame","GainFrame/Resources/Assets.xcassets/GainFrameMascot_*","MOV animations and PNG previews"
"02_MASCOT_GARY/reference-templates","Generation references","gain-frame-privacy","docs/assets/gainframe-guy","Attach these when generating new Gary scenes"
"03_SCREENSHOTS/CURRENT_FINAL_APP_STORE_3.0","Current final","gain-frame","docs/app-store-screenshots/3.0/final/en-US","Repository-designated final 6.9-inch iPhone order"
"03_SCREENSHOTS/LATEST_REVIEW_CANDIDATES_3.0","Review candidate; approval required","gain-frame","docs/app-store-screenshots/3.0/review/en-US","Newer candidate set; do not publish as final without approval"
"03_SCREENSHOTS/RAW_PRODUCT_UI_3.0","Raw UI captures","gain-frame","docs/app-store-screenshots/3.0/raw/en-US/iphone-6.3","Useful for layouts and channel creative"
"04_BRAND_SYSTEM/fonts","Production font files; license check required before redistribution","gain-frame","GainFrame/Resources/Fonts","Outfit and DM Sans app files; no license file found in either repository"
"05_COPY_AND_CLAIMS/current-app-store-metadata","Current repository metadata","gain-frame","fastlane/metadata/en-US","Name, subtitle, description, keywords, promotional text, and release notes"
"06_REFERENCE_EXAMPLES","Reference only","gain-frame-privacy","docs/assets/gainframe-guy","Recent mascot-led creative direction; not a pre-approved campaign"
"source-notes/app-store-screenshots-3.0-source-readme.md","Source note","gain-frame","docs/app-store-screenshots/3.0/README.md","Preserves screenshot status and ordering context"
"source-notes/original-mascot-style-guide.md","Source note","gain-frame-privacy","docs/assets/gainframe-guy/illustrations/STYLE_GUIDE.md","Original detailed mascot construction guide"
